lat,lon,flow_area
16.099363,108.249094,Perimeter 2
16.100317,108.250698,Perimeter 2
16.10037612915039,108.25141143798828,Perimeter 2
16.100403,108.253662,Perimeter 2
16.100696,108.250946,Perimeter 2
16.100855,108.254214,Perimeter 2
16.10248,108.250374,Perimeter 2
16.104256,108.254491,Perimeter 2
16.104448,108.253503,Perimeter 2
16.104589,108.251991,Perimeter 2
