station_name,gauge_height,latitude,longitude,project_x,project_y
station_0122,10,,,19199029.35,1777713.18
station_0123,10,,,19197809.56,1777741.24
station_0124,10,,,19197861.16,1777740.97
station_0125,10,,,19197809.57,1777742.09
station_0126,10,,,19197906.59,1777769.14
station_0127,10,,,19197728.22,1777780.31
station_0128,10,,,19198475.83,1777807.61
station_0129,10,,,19202129.71,1777761.78
station_0130,10,,,19202484.89,1777808.67
station_0131,10,,,19197657.20,1777875.34
station_0132,10,,,19202587.13,1777818.71
station_0133,10,,,19197509.16,1777890.10
station_0134,10,,,19205008.93,1777800.62
station_0135,10,,,19197680.78,1777947.99
station_0136,10,,,19202113.42,1777888.16
station_0137,10,,,19202539.63,1777919.94
station_0138,10,,,19202108.23,1777927.33
station_0139,10,,,19197308.77,1778000.62
station_0140,10,,,19201024.32,1777979.57
station_0141,10,,,19201348.93,1777990.14
station_0142,10,,,19202298.64,1777985.41
station_0143,10,,,19201342.84,1778022.57
station_0144,10,,,19197268.35,1778091.28
station_0145,10,,,19204901.12,1778015.22
station_0146,10,,,19201789.36,1778057.91
station_0147,10,,,19197315.39,1778131.19
station_0148,10,,,19201646.45,1778111.47
station_0149,10,,,19197751.26,1778165.23
station_0150,10,,,19198713.67,1778167.68
station_0151,10,,,19198498.63,1778180.20
station_0152,10,,,19200754.04,1778150.17
station_0153,10,,,19201202.15,1778156.42
station_0154,10,,,19197556.89,1778210.43
station_0155,10,,,19197624.18,1778219.38
station_0156,10,,,19198610.74,1778206.87
station_0157,10,,,19198615.71,1778216.98
station_0158,10,,,19197374.06,1778238.95
station_0159,10,,,19203686.38,1778160.39
station_0160,10,,,19197628.94,1778254.10
station_0161,10,,,19201305.31,1778210.53
station_0162,10,,,19201073.30,1778221.65
station_0163,10,,,19198550.78,1778264.41
station_0164,10,,,19197669.36,1778279.59
station_0165,10,,,19197652.86,1778321.23
station_0166,10,,,19197627.35,1778325.48
station_0167,10,,,19197530.04,1778331.24
station_0168,10,,,19198847.39,1778323.05
station_0169,10,,,19201479.91,1778308.55
station_0170,10,,,19204038.15,1778285.76
station_0171,10,,,19201439.03,1778331.50
